trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,3,19.010476415650402,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,11,-17.228395405686033,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-1.6201905743263225,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,3,-11.311809433356329,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,12,5.560047138533454,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,0,-48.08756495136538,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,11,12.702827372624817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",30,0,14.311855314447126,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,5.430891471964316,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,16,-4.678647757060984,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,8,25.306942556138058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,2,-17.924289048337332,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,0,13.608873581158484,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,6,2.1678097344985128,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,11,1.215143714456699,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,-22.351575528651335,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,13,21.804669366533563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,5,18.56082910502569,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,15,9.303554065183516,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",30,16,12.881937763258323,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,9,7.8019075729645655,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,0,17.615663730774795,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,14.228963685959986,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,11,13.326362764916077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,0,-3.2629801820407835,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,0,27.932126821263957,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,18,-28.860614319658048,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,-17.620802166848982,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,12,-15.393142724201372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,-23.369550420430063,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",35,0,8.201594812509883,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,2,19.049214011250008,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,23.65092797760016,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",30,0,-17.530334241555856,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,1,28.3349471227135,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,13,18.62312590144437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,6,11.839006151895223,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,9,21.378463802604998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,7,31.65185704849203,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,0,-6.562805273289415,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,16,16.210000902491768,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,16,7.895865676701375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",30,0,15.466811431678794,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",30,0,24.360588487615082,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,0,14.77758295365852,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,0,28.9606094604159,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,0,22.6595418339393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,0,33.41407636181666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,0,17.01687272280743,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,0,-67.26721978147759,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,11,14.658603254803724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,0,20.906017685167768,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,12,11.784022583294359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",25,7,31.639189781586467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",20,0,-13.457710412579427,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",30,7,37.235177140617495,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",25,7,22.035698633089012,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",35,17,37.747327196227474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",25,14,23.635024411625103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,14.755615981791845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,35.508851156850575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,11,18.71366202501147,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,29.21414367970922,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,12.071361451851494,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,22.41048708639285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,22,13.05559364564957,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,31.092451527569008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,52.11748299846484,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,8,21.47814213250812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
